"filename", "language", "Markdown", "Lua", "XML", "comment", "blank", "total"
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EffectPreset\{7b78fbba-8841-442f-920d-18e237f01423}.xml", "XML", 0, 0, 64, 0, 1, 65
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EffectPreset\{9b30ac4e-b224-45bd-a225-342de917042c}.xml", "XML", 0, 0, 55, 0, 1, 56
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EffectPreset\{a17e2aba-6aa4-465c-b907-b062b1419881}.xml", "XML", 0, 0, 55, 0, 1, 56
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EffectPreset\{cdac7b16-3f91-41bb-b62f-40278bf2de45}.xml", "XML", 0, 0, 25, 0, 1, 26
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EffectPreset\{d3c8ed9b-8fff-42f7-b83b-75e90acceeee}.xml", "XML", 0, 0, 93, 0, 1, 94
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EncodingSetting\{023e158d-7bc9-4ed9-b5c9-d4ef6c12c2f2}.xml", "XML", 0, 0, 17, 0, 1, 18
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EncodingSetting\{084c7162-13ac-46ed-82d3-440f9458f094}.xml", "XML", 0, 0, 17, 0, 1, 18
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EncodingSetting\{609b72d4-d81b-4cad-b5de-555b95993e59}.xml", "XML", 0, 0, 20, 0, 1, 21
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EncodingSetting\{6349b204-d7b1-48d2-af51-8a08b83469bb}.xml", "XML", 0, 0, 17, 0, 1, 18
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EncodingSetting\{831c3fe4-8fa2-4e47-892d-8fcdd8543451}.xml", "XML", 0, 0, 17, 0, 1, 18
